k19 機場
k25 太陽能
k31 監獄
k32 大學
k35 博物館
k36 劇院
k37 水族館
k38 動物園
k39 遊樂園
k40 電影院
k41 圖書總館
k42 市政廳
k43 法院
k44 會展中心
k45 研究院
k46 氣象站
k47 植物園
k48 綜合醫院
k49 油井
k50 礦場
k51 太空研究中心
k53 大農場
k54 大墓園
k56 體育園區
k57 食品加工廠
k58 核電廠
k59 水力發電廠
k60 地熱發電
k61 消防總局
k62 垃圾焚化發電廠
k63 溫室
k64 倉儲物流中心
k65 大型購物中心
k66 信仰中心
k67 鐘樓
k68 天文台
k69 燈塔
k70 風車
k71 噴泉廣場
k72 紀念碑
k73 觀景塔
k74 涼亭
k75 凱旋門
k76 摩天輪
k77 水塔景觀
k78 古樹神木
k79 碼頭亭
k80 旋轉木馬
k81 民宿
k82 商務旅館
k83 度假酒店
k84 幼兒園
k85 樂齡中心
k86 銀行
k87 農貿市場
k88 堆肥場
k89 電視塔
k90 遊艇碼頭
k91 貿易站
k92 遛狗公園
k93 溜冰場
k94 滑板公園
k95 消防瞭望塔
k96 游泳池
k97 釣魚碼頭
k98 青年旅舍
k99 婚禮教堂
k100 釀酒廠
k101 水上樂園
k102 寵物醫院
k103 天際觀景餐廳
k104 社區菜園
k105 住宅巨廈
k106 商業綜合體
k107 火葬場
k108 高中
k109 科技園
k110 貨運站
k111 資源回收廠
k112 中央公園
k113 大學城
k114 國際機場
k115 市民中心
k116 數據中心
k117 天然氣井
k118 化肥廠
k119 中央廚房
k120 魚塘
k121 ?
k122 ?
k123 ?
k124 ?
k125 ?
k126 ?
k127 ?
k128 ?
k129 ?
k130 ?
k131 ?
k132 ?
k133 ?
k135 ?
k136 ?
k137 ?
k138 ?
k175 ?
k176 ?
k177 ?
k178 ?
k179 ?
k180 ?
k181 ?
k182 ?
k183 ?
k184 ?
k185 ?
k186 ?
